homograph,word acc,phone acc,stress acc,syl acc,count
ABSTRACT,1.0,1.0,1.0,1.0,9
ADDICT,1.0,1.0,1.0,1.0,10
AFFECT,1.0,1.0,1.0,1.0,8
ATTRIBUTE,1.0,1.0,1.0,1.0,9
COMBINE,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
COMPACT,1.0,1.0,1.0,1.0,8
COMPOUND,1.0,1.0,1.0,1.0,12
COMPRESS,1.0,1.0,1.0,1.0,9
CONDUCT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
CONFINES,0.4,0.4,0.4,1.0,10
CONFLICT,1.0,1.0,1.0,1.0,9
CONSCRIPT,0.9,0.9,0.9,1.0,10
CONSOLE,0.1,0.1,0.1,1.0,10
CONSORT,1.0,1.0,1.0,1.0,6
CONSTRUCT,1.0,1.0,1.0,1.0,10
CONTENT,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,12
CONTEST,1.0,1.0,1.0,1.0,10
CONTRACT,1.0,1.0,1.0,1.0,8
CONTRAST,1.0,1.0,1.0,1.0,10
CONVERSE,1.0,1.0,1.0,1.0,10
CONVERT,0.8,0.8,0.8,1.0,10
CONVICT,1.0,1.0,1.0,1.0,9
DESERT,1.0,1.0,1.0,1.0,11
DISCARD,1.0,1.0,1.0,1.0,10
DISCHARGE,0.9166666666666666,1.0,0.9166666666666666,1.0,12
DISCOUNT,1.0,1.0,1.0,1.0,12
ESCORT,0.625,0.625,0.625,1.0,8
EXPLOIT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
EXPORT,1.0,1.0,1.0,1.0,14
EXTRACT,1.0,1.0,1.0,1.0,10
FRAGMENT,1.0,1.0,1.0,1.0,7
IMPACT,1.0,1.0,1.0,1.0,9
IMPLANT,0.09090909090909091,0.09090909090909091,1.0,1.0,11
IMPORT,1.0,1.0,1.0,1.0,10
INCENSE,1.0,1.0,1.0,1.0,11
INCLINE,0.875,0.875,1.0,1.0,8
INCREASE,0.9090909090909091,1.0,0.9090909090909091,1.0,11
INSERT,1.0,1.0,1.0,1.0,8
INSULT,1.0,1.0,1.0,1.0,8
INTRIGUE,1.0,1.0,1.0,1.0,10
INVALID,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
INVERT,0.7142857142857143,1.0,0.7142857142857143,1.0,7
INVITE,0.7777777777777778,1.0,0.7777777777777778,1.0,9
PERFUME,0.9,0.9,0.9,1.0,10
PERMIT,1.0,1.0,1.0,1.0,5
PERVERT,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,7
PRODUCE,1.0,1.0,1.0,1.0,13
PROGRESS,1.0,1.0,1.0,1.0,10
PROJECT,1.0,1.0,1.0,1.0,12
PROTEST,1.0,1.0,1.0,1.0,8
RECORD,1.0,1.0,1.0,1.0,7
REFUSE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
TRANSFORM,0.8333333333333334,1.0,0.8333333333333334,1.0,6
TRANSPLANT,0.6666666666666666,0.7777777777777778,0.8888888888888888,1.0,9
TRANSPORT,0.9,1.0,0.9,1.0,10
UPSET,1.0,1.0,1.0,1.0,10
