3,"[('dh @', [0]), ('s uh n - h a - m @', [1, 2, 0]), ('p r uu v d', [1]), ('t uu', [0]), ('b ii', [1]), ('dh ii', [0]), ('i m - p l i - m e n t', [1, 0, 0]), ('o v', [1]), ('dh @', [0]), ('t r ou z', [1]), ('d i - s t r uh k - sh n!', [0, 1, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
15,"[('i t', [1]), ('ch ei n jh d', [1]), ('i t s', [1]), ('n ei m', [1]), ('t uu', [0]), ('dh @', [0]), ('m @ - l ii n', [0, 1]), ('i m - p l i - m e n t', [1, 0, 0]), ('k uh m - p @ - n iy', [1, 0, 0]), ('t uu', [0]), ('r i - f l e k t', [0, 1]), ('dh i s', [1])]","('i m - p l i - m @ n t', [1, 0, 0])"
20,"[('h ii', [1]), ('f ow n d', [1]), ('i m - p l oi - m @ n t', [0, 1, 0]), ('w i dh', [1]), ('r o - b i n - s n!', [1, 0, 0]), ('b r o s', [1]), ('i m - p l i - m e n t', [1, 0, 0]), ('m ei k - @ z', [1, 0]), ('o v', [1]), ('m e lw - b @ n', [1, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
41,"[('a n', [1]), ('@ b - s t e - t r i k - l!', [0, 1, 0, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('n ou n', [1]), ('a z', [1]), ('ei', [1]), ('p i n s', [1]), ('d ii', [0]), ('b aa', [1]), ('a n', [1]), ('uh m - b i - l i - k l!', [0, 1, 0, 0]), ('k oo d', [1]), ('k l a m p', [1]), ('i z', [1]), ('n ei m d', [1]), ('aa f - t @', [1, 0]), ('h i m', [1])]","('i m - p l i - m @ n t', [1, 0, 0])"
67,"[('f aa m', [1]), ('i m - p l i - m e n t', [1, 0, 0]), ('a n d', [1]), ('m @ - sh ii n - @ - r iy', [0, 1, 0, 0]), ('r i - v y uu', [0, 1]), ('v o - l y uu m', [1, 0]), ('ei - t iy', [1, 0]), ('p aa t', [1]), ('t uu', [1]), ('@ - b i - ch uw @ - r iy z', [0, 1, 0, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
72,"[('dh ii', [0]), ('i m - p l i - m e n t', [1, 0, 0]), ('i z', [1]), ('th r ou n', [1]), ('y uu z - i ng', [1, 0]), ('w uh n', [1]), ('h a n d', [1]), ('ou n - l iy', [1, 0]), ('b uh t', [1]), ('uh - dh @ - w ai z', [1, 0, 2]), ('y uu z - i ng', [1, 0]), ('e - n iy', [1, 0]), ('t e k - n ii k', [0, 1])]","('i m - p l i - m @ n t', [1, 0, 0])"
170,"[('i n', [1]), ('n ai n - t ii n', [0, 1]), ('n ai n - t iy', [1, 0]), ('f ai v', [1]), ('h o f - m @ n', [1, 0]), ('s t aa t - i d', [1, 0]), ('p @ - f oo m - i ng', [0, 1, 0]), ('w i dh', [1]), ('h @@r', [1]), ('h ai', [1]), ('s k uu lw', [1]), ('k l aa s - m ei t', [1, 3]), ('b e n', [1]), ('l ii z', [1]), ('p o p', [1]), ('p uh ng k', [1]), ('b a n d', [1]), ('n oi z', [1]), ('@ - d i k t', [0, 1]), ('a z', [1]), ('ei', [1]), ('f i f - t ii n', [0, 1]), ('y i@', [1]), ('ou lw d', [1]), ('g i - t @ - r i s t', [1, 0, 0])]","('a - d i k t', [1, 0])"
179,"[('i n - s p e k - sh n! z', [0, 1, 0]), ('r i - v ii lw d', [0, 1]), ('dh a t', [1]), ('s i k - s t iy', [1, 0]), ('f ai v', [1]), ('h ou m z', [1]), ('s @ - s t ei n d', [0, 1]), ('m ei - jh @', [1, 0]), ('oo', [1]), ('s @ - v i@', [0, 1]), ('d a - m i jh', [1, 0]), ('a n d', [1]), ('w uh n', [1]), ('h uh n - d r @ d', [1, 0]), ('a n d', [1]), ('t w e n - t iy', [1, 0]), ('f ai v', [1]), ('h ou m z', [1]), ('i k - s p i@ - r iy @ n s t', [0, 1, 0]), ('m ai lw d', [1]), ('t uu', [0]), ('m o - d @ - r ei t', [1, 0, 0]), ('d a - m i jh', [1, 0])]","('m o - d @ - r @ t', [1, 0, 0])"
188,"[('i n', [1]), ('dh @', [0]), ('f @@r s t', [1]), ('th r ii', [1]), ('m uh n th s', [1]), ('o v', [1]), ('dh @', [0]), ('y i@', [1]), ('dh @', [0]), ('n uh m - b @', [1, 0]), ('o v', [1]), ('t oo - n ei - d ou z', [0, 1, 0]), ('a n d', [1]), ('t oo - n ei - d ou', [0, 1, 0]), ('ow t - b r ei k s', [1, 3]), ('w @@r', [1]), ('l ou', [1]), ('t uu', [0]), ('m o - d @ - r ei t', [1, 0, 0])]","('m o - d @ - r @ t', [1, 0, 0])"
268,"[('ou', [1]), ('m uh lw - t i - p @ - r @ s', [1, 0, 0, 0]), ('aa', [1]), ('f ow n d', [1]), ('i n', [1]), ('h ai - i s t', [1, 0]), ('n uh m - b @ z', [1, 0]), ('i n', [1]), ('l ou', [1]), ('t uu', [0]), ('m o - d @ - r ei t', [1, 0, 0]), ('s oi lw', [1]), ('f @ - t i l - @ - t iy', [0, 1, 0, 0]), ('l e - v l! z', [1, 0])]","('m o - d @ - r @ t', [1, 0, 0])"
269,"[('p o t - v i n', [1, 0]), ('w o z', [1]), ('n ou n', [1]), ('f @', [0]), ('b ii - i ng', [1, 0]), ('i n - t e - l i - jh @ n t', [0, 1, 0, 0]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('a n d', [1]), ('ow t - s p ou k - @ n', [3, 1, 0]), ('o f', [1]), ('dh ii', [0]), ('ai s', [1])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
