1,"[('f r ii - d @ m', [1, 0]), ('f r o m', [1]), ('h uh ng - g @', [1, 0]), ('h a z', [1]), ('t r ei n d', [1]), ('l ou - k @ lw', [1, 0]), ('oo - g @ - n ai z - ei - sh n! z', [2, 0, 0, 1, 0]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('dh @', [0]), ('m @ - l eir - r iy @', [0, 1, 0]), ('i - n i - sh @ - t i v', [0, 1, 0, 0]), ('a z', [1]), ('p aa t', [1]), ('o v', [1]), ('dh @', [0]), ('k r e - d i t', [1, 0]), ('w i dh', [1]), ('e - jh uw - k ei - sh n!', [2, 0, 1, 0]), ('p r ou - g r a m', [1, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
2,"[('i n', [1]), ('n y uw - m e - r i k - l!', [0, 1, 0, 0]), ('@ - n a - l @ - s i s', [0, 1, 0, 0]), ('d i - f r @ n t', [1, 0]), ('d ii - k o m - p @ z - i - sh n! z', [2, 0, 0, 1, 0]), ('aa', [1]), ('y uu s t', [1]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('i - f i - sh n! t', [0, 1, 0]), ('m ei - t r i k s', [1, 0]), ('a lw - g o - r i - th @ m z', [0, 1, 0, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
3,"[('dh @', [0]), ('s uh n - h a - m @', [1, 2, 0]), ('p r uu v d', [1]), ('t uu', [0]), ('b ii', [1]), ('dh ii', [0]), ('i m - p l i - m e n t', [1, 0, 0]), ('o v', [1]), ('dh @', [0]), ('t r ou z', [1]), ('d i - s t r uh k - sh n!', [0, 1, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
12,"[('a - l ou - h aa', [1, 0, 2]), ('e - d i t - @', [1, 0, 0]), ('t r ai z', [1]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('i t s', [1]), ('f uh ng k - sh n! - a l - @ - t iy', [2, 0, 1, 0, 0]), ('r i - s p e k t - i ng', [0, 1, 0]), ('dh @', [0]), ('h a m', [1]), ('f ai v', [1]), ('s p e - s i - f i - k ei - sh n!', [2, 0, 0, 1, 0]), ('d r aa f t', [1])]","('i m - p l i - m e n t', [1, 0, 0])"
14,"[('aa f - t @', [1, 0]), ('dh @', [0]), ('r i - v y uu', [0, 1]), ('o v', [1]), ('dh ii', [0]), ('i n - f @ m - ei - sh n!', [2, 0, 1, 0]), ('dh @', [0]), ('d i - s t r i k t', [1, 0]), ('w o z', [1]), ('n o t', [1]), ('r i - k w ai @ d', [0, 1]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('dh @', [0]), ('r e - k @ - m e n d - i d', [2, 0, 1, 0]), ('k o s t', [1]), ('s ei v - i ng z', [1, 0]), ('ch ei n jh - i z', [1, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
18,"[('k o - m @ n', [1, 0]), ('y uu s - i z', [1, 0]), ('i n - k l uu d', [0, 1]), ('w oo - t @', [1, 0]), ('s ou - i jh', [1, 0]), ('p @ - t r ou - l iy @ m', [0, 1, 0]), ('a n d', [1]), ('p e - t r @ - k e - m i - k l!', [2, 0, 1, 0, 0]), ('p uh m p - i ng', [1, 0]), ('ei', [1]), ('s e n - t r i - f y uu g - @ lw', [2, 0, 1, 0]), ('f a n', [1]), ('i z', [1]), ('k o - m @ n - l iy', [1, 0, 0]), ('y uu s t', [1]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('ei', [1]), ('v a - k y uu m', [1, 0]), ('k l ii n - @', [1, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
26,"[('a n', [1]), ('a - p l i - k ei - sh n!', [2, 0, 1, 0]), ('k a n', [1]), ('i m - p l e - m e n t', [0, 1, 0]), ('s i ng - k r @ - n ai z d', [1, 0, 0]), ('d i - s t r i - b y uw t - i d', [0, 1, 0, 0]), ('r e n - d @ r - i ng', [1, 0, 0]), ('y uu z - i ng', [1, 0]), ('ei t', [1]), ('h uh n - d r @ d', [1, 0]), ('a n d', [1]), ('t uu', [1]), ('w uh n', [1]), ('a z', [1]), ('a n d', [1]), ('h ai @', [1]), ('l ei @ z', [1])]","('i m - p l i - m e n t', [1, 0, 0])"
27,"[('h a - r i s', [1, 0]), ('w o z', [1]), ('k @ - m i t - i d', [0, 1, 0]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('dh @', [0]), ('s @@r', [1]), ('p l a t - f oo m', [1, 0]), ('oo lw - m ou s t', [1, 0]), ('i n', [1]), ('i t s', [1]), ('i n - t ai @ r - i - t iy', [0, 1, 0, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
28,"[('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('dh @', [0]), ('m e - zh', [1, 0]), ('o t - b @ - jh @ n', [1, 0, 0]), ('s t ei - sh n!', [1, 0]), ('h a d', [1]), ('t uu', [0]), ('b ii', [1]), ('r ii - b i lw t', [3, 1]), ('w i dh', [1]), ('ei', [1]), ('s t oo r - i jh', [1, 0]), ('t r a k', [1]), ('a n d', [1]), ('t r a k', [1]), ('k @ - n e k - sh n! z', [0, 1, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
30,"[('dh i s', [1]), ('ei - jh @ n - s iy', [1, 0, 0]), ('h a z', [1]), ('d r aa f t - i d', [1, 0]), ('e - n @ - jh iy', [1, 0, 0]), ('i - f i - sh n! - s iy', [0, 1, 0, 0]), ('l e - jh i - s l @ t - i v', [1, 0, 0, 0]), ('f r ei m - w @@r k s', [1, 3]), ('ei m - i ng', [1, 0]), ('t uu', [0]), ('i m - p l e - m e n t', [0, 1, 0]), ('dh @', [0]), ('b e s t', [1]), ('y uu', [1]), ('p r a k - t i s - i z', [1, 0, 0])]","('i m - p l i - m e n t', [1, 0, 0])"
