homograph,word acc,phone acc,stress acc,syl acc,count
REFUSE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
INSTRUMENT,1.0,1.0,1.0,1.0,8
REJECT,1.0,1.0,1.0,1.0,7
INSULT,1.0,1.0,1.0,1.0,8
ARTICULATE,0.625,0.625,1.0,1.0,8
EXCUSE,0.8,0.8,1.0,1.0,10
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
INTIMATE,1.0,1.0,1.0,1.0,10
CONSOLE,0.1,0.1,0.1,1.0,10
REBEL,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
USE,0.9166666666666666,0.9166666666666666,1.0,1.0,24
HOUSE,1.0,1.0,1.0,1.0,12
CONTEST,0.9,0.9,0.9,1.0,10
INCLINE,1.0,1.0,1.0,1.0,8
ESCORT,0.625,0.625,0.625,1.0,8
DELIBERATE,0.9,0.9,1.0,1.0,10
PERFUME,0.9,0.9,0.9,1.0,10
POSTULATE,0.6,0.6,1.0,1.0,10
CONFINES,0.6,0.6,0.6,1.0,10
IMPACT,0.8888888888888888,1.0,0.8888888888888888,1.0,9
DEVIATE,0.1,0.1,0.1,0.1,10
ESTIMATE,1.0,1.0,1.0,1.0,9
CONSUMMATE,0.16666666666666666,0.16666666666666666,1.0,1.0,6
WINDS,1.0,1.0,1.0,1.0,12
DELEGATE,1.0,1.0,1.0,1.0,10
ALTERNATE,1.0,1.0,1.0,1.0,11
MINUTE,0.75,0.75,0.75,1.0,12
READING,0.8,0.8,1.0,1.0,10
FRAGMENT,1.0,1.0,1.0,1.0,7
FREQUENT,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,12
LIVES,0.7142857142857143,0.7142857142857143,1.0,1.0,14
PRESENT,1.0,1.0,1.0,1.0,14
CONTENT,0.75,0.75,0.75,1.0,12
MOBILE,1.0,1.0,1.0,1.0,9
DESERT,1.0,1.0,1.0,1.0,11
LIVE,0.7692307692307693,0.7692307692307693,1.0,1.0,13
SUBJECT,1.0,1.0,1.0,1.0,14
CORRELATE,0.9,0.9,1.0,1.0,10
CONTRACT,1.0,1.0,1.0,1.0,8
SUSPECT,0.625,0.625,0.625,1.0,8
INTERCHANGE,1.0,1.0,1.0,1.0,10
AXES,0.5555555555555556,0.5555555555555556,1.0,1.0,9
INITIATE,0.875,0.875,1.0,1.0,8
ABUSE,0.9,0.9,1.0,1.0,10
PROJECT,1.0,1.0,1.0,1.0,12
CONVERT,0.9,0.9,0.9,1.0,10
