homograph,word acc,phone acc,stress acc,syl acc,count
ATTRIBUTE,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
INITIATE,0.75,0.75,0.75,0.75,8
MINUTE,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,12
RECORD,1.0,1.0,1.0,1.0,7
PROJECT,1.0,1.0,1.0,1.0,12
DUPLICATE,0.5,0.5,1.0,1.0,10
CONSTRUCT,1.0,1.0,1.0,1.0,10
PROGRESS,0.9,0.9,0.9,1.0,10
DELEGATE,1.0,1.0,1.0,1.0,10
DEVIATE,0.8,0.8,0.8,0.8,10
DIFFUSE,0.9,0.9,1.0,1.0,10
USES,1.0,1.0,1.0,1.0,14
INTRIGUE,0.9,1.0,0.9,1.0,10
EXPORT,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,14
SOW,0.6666666666666666,0.6666666666666666,1.0,1.0,12
INCENSE,1.0,1.0,1.0,1.0,11
DEGENERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
ARTICULATE,0.625,0.625,1.0,1.0,8
DISCOUNT,1.0,1.0,1.0,1.0,12
REBEL,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
INVALID,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
WINDS,1.0,1.0,1.0,1.0,12
POLISH,1.0,1.0,1.0,1.0,10
LEARNED,1.0,1.0,1.0,1.0,9
PERFUME,0.9,0.9,0.9,1.0,10
CONSCRIPT,1.0,1.0,1.0,1.0,10
CONSOLE,0.1,0.1,0.1,1.0,10
CONTRACT,1.0,1.0,1.0,1.0,8
PREDICATE,1.0,1.0,1.0,1.0,12
ISOLATE,1.0,1.0,1.0,1.0,9
CONVERT,0.8,0.8,0.8,1.0,10
SUBORDINATE,0.75,0.75,1.0,1.0,8
CELTIC,0.7777777777777778,0.7777777777777778,1.0,1.0,9
SEPARATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
ASSOCIATE,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,11
ANALYSES,1.0,1.0,1.0,1.0,9
DOVE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
ROW,0.0,0.0,1.0,1.0,8
ELABORATE,1.0,1.0,1.0,1.0,9
CONTEST,0.9,0.9,0.9,1.0,10
REFUSE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
DOCUMENT,1.0,1.0,1.0,1.0,7
BOW,0.3333333333333333,0.3333333333333333,1.0,1.0,9
PERFECT,1.0,1.0,1.0,1.0,13
TRANSFORM,0.8333333333333334,1.0,0.8333333333333334,1.0,6
MISUSE,1.0,1.0,1.0,1.0,7
HOUSE,1.0,1.0,1.0,1.0,12
RECOUNT,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,7
POSTULATE,0.6,0.6,1.0,1.0,10
ESCORT,0.625,0.625,0.625,1.0,8
APPROPRIATE,1.0,1.0,1.0,1.0,11
CONGLOMERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
CONSORT,1.0,1.0,1.0,1.0,6
TRANSPORT,1.0,1.0,1.0,1.0,10
JOB,1.0,1.0,1.0,1.0,11
FREQUENT,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,12
AXES,0.5555555555555556,0.5555555555555556,1.0,1.0,9
REJECT,1.0,1.0,1.0,1.0,7
CORRELATE,0.7,0.7,1.0,1.0,10
FRAGMENT,1.0,1.0,1.0,1.0,7
TEAR,0.8888888888888888,0.8888888888888888,1.0,1.0,9
AFFECT,1.0,1.0,1.0,1.0,8
INSERT,1.0,1.0,1.0,1.0,8
ABUSES,0.8888888888888888,0.8888888888888888,1.0,1.0,9
TRANSPLANT,0.4444444444444444,1.0,1.0,1.0,9
PIGMENT,1.0,1.0,1.0,1.0,7
DEFECT,1.0,1.0,1.0,1.0,10
INSTRUMENT,1.0,1.0,1.0,1.0,8
OBJECT,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,14
EXPOSE,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
AUGUST,1.0,1.0,1.0,1.0,16
CONVICT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
MODERATE,0.8,0.8,1.0,1.0,10
PASTY,0.2222222222222222,0.2222222222222222,1.0,1.0,9
DISCARD,1.0,1.0,1.0,1.0,10
REFUND,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,6
GRADUATE,0.875,0.875,0.875,0.875,8
BLESSED,0.75,0.75,0.75,0.75,8
ADVOCATE,0.9,0.9,1.0,1.0,10
EXCUSE,0.9,0.9,1.0,1.0,10
CONTRAST,1.0,1.0,1.0,1.0,10
COMPACT,1.0,1.0,1.0,1.0,8
SYNDICATE,0.8333333333333334,0.8333333333333334,1.0,1.0,12
SUSPECT,0.25,0.25,0.25,1.0,8
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
READ,0.4375,0.4375,1.0,1.0,16
PRODUCE,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,13
INCLINE,1.0,1.0,1.0,1.0,8
OVERTHROW,0.4,1.0,0.4,1.0,10
INVERT,0.8571428571428571,1.0,0.8571428571428571,1.0,7
PROTEST,1.0,1.0,1.0,1.0,8
IMPACT,0.8888888888888888,1.0,0.8888888888888888,1.0,9
APPROXIMATE,0.8571428571428571,0.8571428571428571,1.0,1.0,7
ORNAMENT,1.0,1.0,1.0,1.0,9
CONFINES,0.6,0.6,0.6,1.0,10
EXTRACT,0.9,0.9,0.9,1.0,10
IMPLANT,0.2727272727272727,0.5454545454545454,0.7272727272727273,1.0,11
CONTENT,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,12
CONVERSE,0.9,0.9,0.9,1.0,10
WOUND,0.25,0.25,1.0,1.0,8
MOBILE,1.0,1.0,1.0,1.0,9
COMBINE,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
CONFLICT,1.0,1.0,1.0,1.0,9
NESTLE,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
SUPPLEMENT,0.9,0.9,1.0,1.0,10
RETARD,1.0,1.0,1.0,1.0,6
BASS,0.09090909090909091,0.09090909090909091,1.0,1.0,11
LIVES,0.6428571428571429,0.6428571428571429,1.0,1.0,14
PERVERT,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,7
DECREASE,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.0,11
SAKE,0.4,0.4,0.4,0.4,10
LIVE,0.6923076923076923,0.6923076923076923,1.0,1.0,13
COMPRESS,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
MOUTH,1.0,1.0,1.0,1.0,10
INTIMATE,1.0,1.0,1.0,1.0,10
READING,0.8,0.8,1.0,1.0,10
IMPORT,0.7,1.0,0.7,1.0,10
SUBJECT,1.0,1.0,1.0,1.0,14
ABUSE,0.9,0.9,1.0,1.0,10
INSULT,1.0,1.0,1.0,1.0,8
DESERT,1.0,1.0,1.0,1.0,11
ESTIMATE,0.6666666666666666,0.6666666666666666,1.0,1.0,9
BUFFET,1.0,1.0,1.0,1.0,10
CONSUMMATE,0.16666666666666666,0.16666666666666666,1.0,1.0,6
ENTRANCE,1.0,1.0,1.0,1.0,10
COMPOUND,1.0,1.0,1.0,1.0,11
USE,0.875,0.875,1.0,1.0,24
MATE,1.0,1.0,1.0,1.0,11
MOPED,0.0,0.0,0.0,0.0,7
CONDUCT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
DELIBERATE,0.9,0.9,1.0,1.0,10
ADDICT,0.9,0.9,0.9,1.0,10
PRECIPITATE,0.875,0.875,1.0,1.0,8
ABSTRACT,1.0,1.0,1.0,1.0,9
INCREMENT,0.9090909090909091,0.9090909090909091,1.0,1.0,11
EXPLOIT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
INVITE,0.7777777777777778,1.0,0.7777777777777778,1.0,9
INTERCHANGE,1.0,1.0,1.0,1.0,10
PERMIT,0.2,0.2,0.2,1.0,5
AGGREGATE,0.875,0.875,1.0,1.0,8
CLOSE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
DISCHARGE,1.0,1.0,1.0,1.0,12
PRESENT,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,14
ANIMATE,1.0,1.0,1.0,1.0,9
IMPLEMENT,1.0,1.0,1.0,1.0,9
WIND,1.0,1.0,1.0,1.0,12
JESUS,1.0,1.0,1.0,1.0,9
ALTERNATE,1.0,1.0,1.0,1.0,11
LEAD,0.6,0.6,1.0,1.0,15
BOLOGNA,1.0,1.0,1.0,1.0,8
INCREASE,0.9090909090909091,1.0,0.9090909090909091,1.0,11
RESUME,1.0,1.0,1.0,1.0,11
UPSET,1.0,1.0,1.0,1.0,10
