homograph,word acc,phone acc,stress acc,syl acc,count
ADVOCATE,1.0,1.0,1.0,1.0,10
INSULT,1.0,1.0,1.0,1.0,8
ENTRANCE,1.0,1.0,1.0,1.0,10
CONJUGATE,1.0,1.0,1.0,1.0,13
PRODUCE,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,13
DISCARD,1.0,1.0,1.0,1.0,10
INTERCHANGE,1.0,1.0,1.0,1.0,10
INSTRUMENT,1.0,1.0,1.0,1.0,8
TRANSPLANT,0.8888888888888888,1.0,0.8888888888888888,1.0,9
DUPLICATE,0.9,0.9,1.0,1.0,10
JOB,1.0,1.0,1.0,1.0,11
COMPOUND,1.0,1.0,1.0,1.0,12
ATTRIBUTE,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,9
ESTIMATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
PERFECT,1.0,1.0,1.0,1.0,13
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
EXTRACT,0.9,0.9,0.9,1.0,10
SUSPECT,0.875,0.875,0.875,1.0,8
BASS,0.9090909090909091,0.9090909090909091,1.0,1.0,11
FREQUENT,1.0,1.0,1.0,1.0,12
INTRIGUE,0.9,1.0,0.9,1.0,10
PRECIPITATE,1.0,1.0,1.0,1.0,8
CONVICT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
SYNDICATE,1.0,1.0,1.0,1.0,12
SUPPLEMENT,0.8,0.8,1.0,1.0,10
DEGENERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
APPROPRIATE,1.0,1.0,1.0,1.0,11
DIAGNOSES,1.0,1.0,1.0,1.0,8
ISOLATE,1.0,1.0,1.0,1.0,9
CONVERSE,0.8,0.8,0.8,1.0,10
AXES,0.6666666666666666,0.6666666666666666,1.0,1.0,9
OVERTHROW,1.0,1.0,1.0,1.0,10
PERMIT,1.0,1.0,1.0,1.0,5
RODEO,1.0,1.0,1.0,1.0,12
ESCORT,0.875,0.875,0.875,1.0,8
COMPRESS,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
PRESENT,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,14
MOPED,1.0,1.0,1.0,1.0,7
CONSTRUCT,1.0,1.0,1.0,1.0,10
IMPLEMENT,1.0,1.0,1.0,1.0,9
RETARD,1.0,1.0,1.0,1.0,6
MOBILE,1.0,1.0,1.0,1.0,9
INVERT,0.8571428571428571,1.0,0.8571428571428571,1.0,7
REBEL,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
PREDICATE,1.0,1.0,1.0,1.0,12
SEPARATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
PERVERT,1.0,1.0,1.0,1.0,7
ROW,0.75,0.75,1.0,1.0,8
MISUSE,1.0,1.0,1.0,1.0,7
INCREASE,1.0,1.0,1.0,1.0,11
PASTY,0.6666666666666666,0.6666666666666666,1.0,1.0,9
PROGRESS,0.9,0.9,0.9,1.0,10
CONTEST,0.9,0.9,0.9,1.0,10
INCLINE,1.0,1.0,1.0,1.0,8
COMPACT,1.0,1.0,1.0,1.0,8
ASSOCIATE,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,11
UPSET,1.0,1.0,1.0,1.0,10
REJECT,1.0,1.0,1.0,1.0,7
INITIATE,1.0,1.0,1.0,1.0,8
BOW,0.5555555555555556,0.5555555555555556,1.0,1.0,9
TRANSPORT,1.0,1.0,1.0,1.0,10
SOW,0.9166666666666666,0.9166666666666666,1.0,1.0,12
FRAGMENT,1.0,1.0,1.0,1.0,7
GRADUATE,0.875,0.875,0.875,0.875,8
INVITE,0.8888888888888888,1.0,0.8888888888888888,1.0,9
ABSTRACT,1.0,1.0,1.0,1.0,9
RERELEASE,1.0,1.0,1.0,1.0,6
DOVE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
