homograph,word acc,phone acc,stress acc,syl acc,count
INCLINE,1.0,1.0,1.0,1.0,8
ASSOCIATE,0.9,0.9,0.9,0.9,10
INCREASE,0.8181818181818182,1.0,0.8181818181818182,1.0,11
PRECIPITATE,1.0,1.0,1.0,1.0,8
PREDICATE,1.0,1.0,1.0,1.0,12
REFUND,1.0,1.0,1.0,1.0,6
BUFFET,1.0,1.0,1.0,1.0,10
INSULT,1.0,1.0,1.0,1.0,8
PERFUME,1.0,1.0,1.0,1.0,10
RETARD,1.0,1.0,1.0,1.0,6
AUGUST,1.0,1.0,1.0,1.0,16
PERFECT,1.0,1.0,1.0,1.0,13
COMPRESS,1.0,1.0,1.0,1.0,9
PIGMENT,1.0,1.0,1.0,1.0,7
BASS,0.9090909090909091,0.9090909090909091,1.0,1.0,11
PERMIT,1.0,1.0,1.0,1.0,5
PASTY,0.8888888888888888,0.8888888888888888,1.0,1.0,9
BOLOGNA,1.0,1.0,1.0,1.0,8
PERVERT,1.0,1.0,1.0,1.0,7
CONSUMMATE,1.0,1.0,1.0,1.0,6
ANALYSES,1.0,1.0,1.0,1.0,9
EXTRACT,1.0,1.0,1.0,1.0,10
CONTRACT,1.0,1.0,1.0,1.0,8
ADVOCATE,1.0,1.0,1.0,1.0,10
RECORD,1.0,1.0,1.0,1.0,7
DISCOUNT,1.0,1.0,1.0,1.0,12
ALTERNATE,1.0,1.0,1.0,1.0,11
MODERATE,1.0,1.0,1.0,1.0,10
PROTEST,1.0,1.0,1.0,1.0,8
WINDS,1.0,1.0,1.0,1.0,12
DIFFUSE,1.0,1.0,1.0,1.0,10
NESTLE,1.0,1.0,1.0,1.0,7
COORDINATE,1.0,1.0,1.0,1.0,10
OBJECT,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,14
INVALID,1.0,1.0,1.0,1.0,11
INTIMATE,1.0,1.0,1.0,1.0,10
EXPATRIATE,1.0,1.0,1.0,1.0,9
MOUTH,1.0,1.0,1.0,1.0,10
MOBILE,1.0,1.0,1.0,1.0,9
CORRELATE,1.0,1.0,1.0,1.0,10
ISOLATE,1.0,1.0,1.0,1.0,9
POSTULATE,1.0,1.0,1.0,1.0,10
AXES,0.6666666666666666,0.6666666666666666,1.0,1.0,9
READING,0.7,0.7,1.0,1.0,10
INCREMENT,0.9090909090909091,0.9090909090909091,1.0,1.0,11
APPROXIMATE,1.0,1.0,1.0,1.0,7
HOUSE,1.0,1.0,1.0,1.0,12
CONFLICT,1.0,1.0,1.0,1.0,9
IMPORT,1.0,1.0,1.0,1.0,10
INSERT,1.0,1.0,1.0,1.0,8
DISCHARGE,0.9166666666666666,1.0,0.9166666666666666,1.0,12
SYNDICATE,1.0,1.0,1.0,1.0,12
RERELEASE,1.0,1.0,1.0,1.0,6
AGGREGATE,1.0,1.0,1.0,1.0,8
EXPOSE,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
CONFINES,1.0,1.0,1.0,1.0,10
INITIATE,1.0,1.0,1.0,1.0,8
INTERCHANGE,1.0,1.0,1.0,1.0,10
CONSTRUCT,1.0,1.0,1.0,1.0,10
REFUSE,1.0,1.0,1.0,1.0,11
EXPORT,1.0,1.0,1.0,1.0,14
CONTEST,1.0,1.0,1.0,1.0,10
REJECT,1.0,1.0,1.0,1.0,7
IMPLEMENT,1.0,1.0,1.0,1.0,9
DEVIATE,1.0,1.0,1.0,1.0,10
SUPPLEMENT,1.0,1.0,1.0,1.0,10
USES,1.0,1.0,1.0,1.0,14
JESUS,1.0,1.0,1.0,1.0,9
PROGRESS,0.8,0.8,0.8,1.0,10
CONVERSE,1.0,1.0,1.0,1.0,10
ROW,1.0,1.0,1.0,1.0,8
SUBJECT,1.0,1.0,1.0,1.0,14
DECREASE,1.0,1.0,1.0,1.0,11
INTRIGUE,1.0,1.0,1.0,1.0,10
JOB,1.0,1.0,1.0,1.0,11
BOW,0.25,0.25,1.0,1.0,8
ANIMATE,1.0,1.0,1.0,1.0,9
DESERT,1.0,1.0,1.0,1.0,11
ABUSE,1.0,1.0,1.0,1.0,10
RAVEL,1.0,1.0,1.0,1.0,8
SOW,1.0,1.0,1.0,1.0,12
TRANSFORM,1.0,1.0,1.0,1.0,6
FREQUENT,1.0,1.0,1.0,1.0,12
REBEL,1.0,1.0,1.0,1.0,11
BLESSED,1.0,1.0,1.0,1.0,8
DEGENERATE,1.0,1.0,1.0,1.0,9
DOVE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
IMPACT,1.0,1.0,1.0,1.0,9
LEAD,0.6,0.6,1.0,1.0,15
CLOSE,1.0,1.0,1.0,1.0,9
AFFECT,1.0,1.0,1.0,1.0,8
CONJUGATE,1.0,1.0,1.0,1.0,13
RECOUNT,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,7
INVERT,0.5714285714285714,1.0,0.5714285714285714,1.0,7
MATE,1.0,1.0,1.0,1.0,11
ESCORT,1.0,1.0,1.0,1.0,8
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
COMPOUND,1.0,1.0,1.0,1.0,12
EXCUSE,1.0,1.0,1.0,1.0,10
OVERTHROW,1.0,1.0,1.0,1.0,10
LIVES,0.8571428571428571,0.8571428571428571,1.0,1.0,14
