homograph,word acc,phone acc,stress acc,syl acc,count
INVERT,1.0,1.0,1.0,1.0,7
EXTRACT,1.0,1.0,1.0,1.0,10
MATE,1.0,1.0,1.0,1.0,11
ARTICULATE,1.0,1.0,1.0,1.0,8
MINUTE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
PROTEST,1.0,1.0,1.0,1.0,8
DESERT,1.0,1.0,1.0,1.0,11
RECORD,1.0,1.0,1.0,1.0,7
CONSOLE,0.9,0.9,0.9,1.0,10
PERMIT,1.0,1.0,1.0,1.0,5
BOW,0.5555555555555556,0.5555555555555556,1.0,1.0,9
SUBORDINATE,1.0,1.0,1.0,1.0,7
CONVERSE,0.9,0.9,0.9,1.0,10
POLISH,1.0,1.0,1.0,1.0,10
COMBINE,1.0,1.0,1.0,1.0,9
TRANSFORM,1.0,1.0,1.0,1.0,6
CONSTRUCT,1.0,1.0,1.0,1.0,10
EXPATRIATE,1.0,1.0,1.0,1.0,9
COMPACT,1.0,1.0,1.0,1.0,8
ROW,1.0,1.0,1.0,1.0,8
DELIBERATE,1.0,1.0,1.0,1.0,10
OVERTHROW,0.9,1.0,0.9,1.0,10
EXPOSE,1.0,1.0,1.0,1.0,9
PREDICATE,1.0,1.0,1.0,1.0,12
CONSORT,1.0,1.0,1.0,1.0,6
AGGREGATE,1.0,1.0,1.0,1.0,8
LIVE,0.8461538461538461,0.8461538461538461,1.0,1.0,13
ADVOCATE,1.0,1.0,1.0,1.0,10
INSTRUMENT,1.0,1.0,1.0,1.0,8
INTERCHANGE,1.0,1.0,1.0,1.0,10
EXCUSE,0.9,0.9,1.0,1.0,10
INCLINE,0.875,1.0,0.875,1.0,8
INSERT,1.0,1.0,1.0,1.0,8
CONSUMMATE,1.0,1.0,1.0,1.0,6
SAKE,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
MISUSE,1.0,1.0,1.0,1.0,7
MOUTH,1.0,1.0,1.0,1.0,10
ENTRANCE,1.0,1.0,1.0,1.0,10
DECREASE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
COORDINATE,1.0,1.0,1.0,1.0,10
CELTIC,1.0,1.0,1.0,1.0,9
OBJECT,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,14
IMPLEMENT,1.0,1.0,1.0,1.0,9
RECOUNT,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,7
LEARNED,1.0,1.0,1.0,1.0,9
DEFECT,1.0,1.0,1.0,1.0,10
ALTERNATE,1.0,1.0,1.0,1.0,11
MOBILE,1.0,1.0,1.0,1.0,9
SYNDICATE,1.0,1.0,1.0,1.0,12
COMPOUND,1.0,1.0,1.0,1.0,12
WINDS,1.0,1.0,1.0,1.0,12
CONGLOMERATE,1.0,1.0,1.0,1.0,9
PROGRESS,0.8,0.8,0.8,1.0,10
PROJECT,1.0,1.0,1.0,1.0,12
RESUME,1.0,1.0,1.0,1.0,11
DIAGNOSES,1.0,1.0,1.0,1.0,8
INVITE,1.0,1.0,1.0,1.0,9
ISOLATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
ASSOCIATE,1.0,1.0,1.0,1.0,10
MOPED,1.0,1.0,1.0,1.0,7
DUPLICATE,1.0,1.0,1.0,1.0,10
INSULT,1.0,1.0,1.0,1.0,8
LEAD,0.6666666666666666,0.6666666666666666,1.0,1.0,15
EXPLOIT,1.0,1.0,1.0,1.0,9
CONSCRIPT,1.0,1.0,1.0,1.0,10
SOW,1.0,1.0,1.0,1.0,12
AFFILIATE,1.0,1.0,1.0,1.0,4
PRECIPITATE,1.0,1.0,1.0,1.0,8
GRADUATE,1.0,1.0,1.0,1.0,8
READING,0.8,0.8,1.0,1.0,10
SUPPLEMENT,0.9,0.9,1.0,1.0,10
REJECT,1.0,1.0,1.0,1.0,7
INCREMENT,0.9090909090909091,0.9090909090909091,1.0,1.0,11
PERFECT,1.0,1.0,1.0,1.0,13
RODEO,1.0,1.0,1.0,1.0,12
PIGMENT,1.0,1.0,1.0,1.0,7
DISCHARGE,1.0,1.0,1.0,1.0,12
ANIMATE,1.0,1.0,1.0,1.0,9
ABSTRACT,1.0,1.0,1.0,1.0,9
EXPORT,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,14
RETARD,1.0,1.0,1.0,1.0,6
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
CONVERT,1.0,1.0,1.0,1.0,10
DOCUMENT,1.0,1.0,1.0,1.0,7
DISCARD,1.0,1.0,1.0,1.0,10
PRESENT,1.0,1.0,1.0,1.0,14
SUBJECT,1.0,1.0,1.0,1.0,14
TEAR,0.8888888888888888,0.8888888888888888,1.0,1.0,9
REFUND,1.0,1.0,1.0,1.0,6
AXES,0.7777777777777778,0.7777777777777778,1.0,1.0,9
CONTRACT,1.0,1.0,1.0,1.0,8
APPROPRIATE,1.0,1.0,1.0,1.0,11
POSTULATE,0.9,0.9,1.0,1.0,10
CONTRAST,1.0,1.0,1.0,1.0,10
FREQUENT,1.0,1.0,1.0,1.0,12
LIVES,0.8571428571428571,0.8571428571428571,1.0,1.0,14
ANALYSES,1.0,1.0,1.0,1.0,9
HOUSE,1.0,1.0,1.0,1.0,12
CONDUCT,1.0,1.0,1.0,1.0,9
LAMINATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
CONTENT,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,12
ABUSES,0.8888888888888888,0.8888888888888888,1.0,1.0,9
SUSPECT,0.875,0.875,0.875,1.0,8
ESTIMATE,1.0,1.0,1.0,1.0,9
INCREASE,1.0,1.0,1.0,1.0,11
RAVEL,0.875,0.875,0.875,1.0,8
FRAGMENT,1.0,1.0,1.0,1.0,7
CONFINES,0.9,0.9,0.9,1.0,10
BUFFET,1.0,1.0,1.0,1.0,10
RERELEASE,0.8333333333333334,1.0,0.8333333333333334,1.0,6
DOVE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
CLOSE,1.0,1.0,1.0,1.0,9
PERVERT,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,7
TRANSPORT,0.9,1.0,0.9,1.0,10
DEGENERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
COMPRESS,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
INVALID,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
INTIMATE,1.0,1.0,1.0,1.0,9
JOB,1.0,1.0,1.0,1.0,11
ESCORT,0.875,0.875,0.875,1.0,8
APPROXIMATE,1.0,1.0,1.0,1.0,7
CONJUGATE,1.0,1.0,1.0,1.0,13
PRODUCE,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,13
UPSET,1.0,1.0,1.0,1.0,10
REBEL,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
DEVIATE,1.0,1.0,1.0,1.0,10
REFUSE,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,11
ELABORATE,1.0,1.0,1.0,1.0,9
CONFLICT,1.0,1.0,1.0,1.0,9
WOUND,0.75,0.75,1.0,1.0,8
CONVICT,1.0,1.0,1.0,1.0,9
INCENSE,1.0,1.0,1.0,1.0,11
MODERATE,1.0,1.0,1.0,1.0,10
ORNAMENT,1.0,1.0,1.0,1.0,9
INTRIGUE,1.0,1.0,1.0,1.0,10
BLESSED,1.0,1.0,1.0,1.0,8
READ,0.75,0.75,1.0,1.0,16
PERFUME,0.9,0.9,0.9,1.0,10
DIFFUSE,1.0,1.0,1.0,1.0,10
USE,0.875,0.875,1.0,1.0,24
