721,"[('b a k', [1]), ('a t', [1]), ('h i z', [1]), ('l a b', [1]), ('w oo lw - t @ z', [1, 0]), ('a n d', [1]), ('h i z', [1]), ('@ - s i s t - @ n t', [0, 1, 0]), ('m i s', [1]), ('s t r a n d', [1]), ('f ei', [1]), ('h e lw m', [1]), ('t r a n s - p l aa n t', [1, 0]), ('g l a n - jh uw - l @', [1, 0, 0]), ('m @ - t i@ - r iy @ lw', [0, 1, 0]), ('f r o m', [1]), ('d o - r @ - th iy', [1, 0, 0]), ('i n - t uu', [1, 0]), ('ch ii l - @', [0, 0])]","('t r a n s - p l aa n t', [0, 1])"
732,"[('r uu - b iy', [1, 0]), ('a n d', [1]), ('dh @', [0]), ('h e d - m @ n', [0, 0]), ('dh e n', [1]), ('f oo t', [1]), ('dh @', [0]), ('h i@ - r ou z', [1, 0]), ('f @', [0]), ('h ai @', [1]), ('w ai lw', [1]), ('@ - t e m p t - i ng', [0, 1, 0]), ('t uu', [0]), ('t r a n s - p l aa n t', [1, 0]), ('k n d uu z', [0]), ('h e d', [1]), ('o n - t uu', [1, 0]), ('h uh m - b uh g z', [1, 0]), ('b o - d iy', [1, 0])]","('t r a n s - p l aa n t', [0, 1])"
734,"[('r ii d - i ng', [1, 0]), ('@ - b ow t', [0, 1]), ('dh @', [0]), ('k @ n - d i - sh n!', [0, 1, 0]), ('o v', [1]), ('jh @@r - m @ n', [1, 0]), ('i - m i - g r @ n t s', [1, 0, 0]), ('i n', [1]), ('dh @', [0]), ('y uw - n ai t - i d', [0, 1, 0]), ('s t ei t s', [1]), ('w i m - @', [0, 0]), ('t u k', [1]), ('s t e p s', [1]), ('t uu', [0]), ('t r a n s - p l aa n t', [1, 0]), ('b e - n @ - d i k t - ii n', [2, 0, 1, 0]), ('m i - sh n! z', [1, 0]), ('dh eir', [1])]","('t r a n s - p l aa n t', [0, 1])"
750,"[('d y uu', [1]), ('t uu', [0]), ('dh @', [0]), ('v a - l y uu', [1, 0]), ('o v', [1]), ('m ei - l aa n zh', [0, 1]), ('@ - t e m p t s', [0, 1]), ('h a v', [1]), ('b ii n', [1]), ('m ei d', [1]), ('t uu', [0]), ('t r a n s - p l aa n t', [1, 0]), ('p r @ - d uh k - sh n!', [0, 1, 0]), ('o n - t uu', [1, 0]), ('uh - dh @', [1, 0]), ('p l a - n i t s', [1, 0])]","('t r a n s - p l aa n t', [0, 1])"
759,"[('dh @', [0]), ('t r ii z', [1]), ('aa', [1]), ('d i - f i - k l! t', [1, 0, 0]), ('t uu', [0]), ('t r a n s - p l aa n t', [1, 0]), ('a n d', [1]), ('ei', [1]), ('s ii d - l i ng', [1, 0]), ('sh u d', [1]), ('b ii', [1]), ('s e t', [1]), ('i n', [1]), ('i t s', [1]), ('p @@r - m @ - n @ n t', [1, 0, 0]), ('s p o t', [1]), ('w ai lw', [1]), ('s t i lw', [1]), ('s m oo lw', [1])]","('t r a n s - p l aa n t', [0, 1])"
908,"[('f @', [0]), ('dh @', [0]), ('r e s t', [1]), ('o v', [1]), ('dh @', [0]), ('n ai n - t ii n', [0, 1]), ('s e - v n! - t iy z', [1, 0, 0]), ('h ow - e - v @', [2, 1, 0]), ('i m - p oo t', [0, 1]), ('p r ai s - i z', [1, 0]), ('s k ai - r o - k i t - i d', [1, 2, 0, 0]), ('k l ai m - i ng', [1, 0]), ('t uu', [1]), ('h uh n - d r @ d', [1, 0]), ('a n d', [1]), ('n ai n - t ii n', [0, 1]), ('p @ - s e n t', [0, 1]), ('f r o m', [1]), ('n ai n - t ii n', [0, 1]), ('s e - v n! - t iy', [1, 0, 0]), ('th r ii', [1]), ('t uu', [0]), ('n ai n - t ii n', [0, 1]), ('ei - t iy', [1, 0])]","('i m - p oo t', [1, 0])"
937,"[('s t i lw', [1]), ('s l @ - v ii - n iy @', [0, 1, 0]), ('b i - g a n', [0, 1]), ('t uu', [0]), ('k uh - v @ t - l iy', [1, 0, 0]), ('i m - p oo t', [1, 0]), ('aa m z', [1]), ('t uu', [0]), ('r i - p l e - n i sh', [0, 1, 0]), ('i t s', [1]), ('aa m d', [1]), ('f oo s - i z', [1, 0])]","('i m - p oo t', [0, 1])"
949,"[('dh ii', [0]), ('i m - p oo t - ei - sh n!', [2, 0, 1, 0]), ('o v', [1]), ('eir s - o f t', [0, 0]), ('f ai @ r - aa m z', [1, 3]), ('i z', [1]), ('r i - s t r i k t - i d', [0, 1, 0]), ('t uu', [0]), ('k uh m - p @ - n iy z', [1, 0, 0]), ('a n d', [1]), ('i n - d i - v i - jh uw @ lw z', [2, 0, 1, 0]), ('h uu', [1]), ('h ou lw d', [1]), ('w e - p @ n z', [1, 0]), ('i m - p oo t', [0, 1]), ('l ai - s n! s - i z', [1, 0, 0])]","('i m - p oo t', [1, 0])"
986,"[('h ow - e - v @', [2, 1, 0]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('r i - z uh lw t - i d', [0, 1, 0]), ('i n', [1]), ('ei', [1]), ('t ai', [1]), ('w i dh', [1]), ('b ou th', [1]), ('b e z - a n s n!', [0, 0]), ('a n d', [1]), ('t i d - m @ n', [0, 0]), ('r i - s ii v - i ng', [0, 1, 0]), ('th r ii', [1]), ('th ow - z n! d', [1, 0]), ('s e - v n!', [1, 0]), ('h uh n - d r @ d', [1, 0]), ('a n d', [1]), ('th @@r - t iy', [1, 0]), ('f ai v', [1]), ('v ou t s', [1])]","('r ii - k ow n t', [1, 0])"
987,"[('i ng - @ m', [1, 0]), ('k ow n - t iy', [1, 0]), ('w o z', [1]), ('dh @', [0]), ('f @@r s t', [1]), ('k ow n - t iy', [1, 0]), ('t uu', [0]), ('k @ m - p l ii t', [0, 1]), ('dh eir', [1]), ('r ii - k ow n t', [3, 1])]","('r ii - k ow n t', [1, 0])"
989,"[('jh ei', [1]), ('l uh v', [1]), ('uh n - l ai k - l iy', [0, 1, 0]), ('t uu', [0]), ('s ii k', [1]), ('r ii - k ow n t', [3, 1]), ('i n', [1]), ('s e - k @ n d', [1, 0]), ('d i - s t r i k t', [1, 0]), ('l o s', [1]), ('t uu', [0]), ('b o - b iy', [1, 0]), ('b r ai t', [1])]","('r ii - k ow n t', [1, 0])"
990,"[('dh @', [0]), ('k oo t', [1]), ('@ - p oi n t - i d', [0, 1, 0]), ('dh @', [0]), ('d e - p y uw - t iy', [1, 0, 0]), ('m aa - sh l!', [1, 0]), ('t uu', [0]), ('k @ n - d uh k t', [0, 1]), ('ei', [1]), ('r ii - k ow n t', [3, 1])]","('r ii - k ow n t', [1, 0])"
993,"[('dh @', [0]), ('s e - k r @ - t r iy', [1, 0, 0]), ('o v', [1]), ('s t ei t', [1]), ('i - sh uu d', [1, 0]), ('dh ii', [0]), ('oo - d @', [1, 0]), ('f @', [0]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('o n', [1]), ('m uh n - d ei', [1, 0]), ('d i - s e m - b @', [0, 1, 0]), ('s i k s th', [1])]","('r ii - k ow n t', [1, 0])"
994,"[('ii @ n', [1]), ('k ou lw', [1]), ('w o z', [1]), ('i - l e k t - i d', [0, 1, 0]), ('a z', [1]), ('h i z', [1]), ('r i - p l ei s - m @ n t', [0, 1, 0]), ('a t', [1]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('o n', [1]), ('dh @', [0]), ('t w e n - t iy', [1, 0]), ('s e - v n! th', [1, 0]), ('o v', [1]), ('ei - p r i lw', [1, 0]), ('n ai n - t ii n', [0, 1]), ('s e - v n! - t iy', [1, 0, 0]), ('f oo', [1])]","('r ii - k ow n t', [1, 0])"
997,"[('s ou', [1]), ('f aa', [1]), ('ou n - l iy', [1, 0]), ('i n', [1]), ('dh @', [0]), ('g uh - b @ - n @ - t oo r - iy @ lw', [2, 0, 0, 1, 0]), ('i - l e k - sh n! z', [0, 1, 0]), ('o v', [1]), ('n ai n - t ii n', [0, 1]), ('ei - t iy', [1, 0]), ('a n d', [1]), ('t uu', [1]), ('th ow - z n! d', [1, 0]), ('f oo', [1]), ('h a z', [1]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('t ei k - @ n', [1, 0]), ('p l ei s', [1])]","('r ii - k ow n t', [1, 0])"
998,"[('s a - m @ n', [1, 0]), ('r i - k w e s t - i d', [0, 1, 0]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('a n d', [1]), ('o n', [1]), ('d i - s e m - b @', [0, 1, 0]), ('t w e n - t iy', [1, 0]), ('f @@r s t', [1]), ('t uu', [1]), ('th ow - z n! d', [1, 0]), ('s i k s', [1]), ('h ii', [1]), ('w o z', [1]), ('d i - k l eir d', [0, 1]), ('dh @', [0]), ('w i n - @', [1, 0]), ('b ai', [1]), ('ei', [1]), ('m aa - jh i n', [1, 0]), ('o v', [1]), ('w uh n', [1]), ('h uh n - d r @ d', [1, 0]), ('a n d', [1]), ('t uu', [1]), ('v ou t s', [1])]","('r ii - k ow n t', [1, 0])"
999,"[('h ii', [1]), ('w o z', [1]), ('d i - f ii t - i d', [0, 1, 0]), ('i n', [1]), ('n ai n - t ii n', [0, 1]), ('th @@r - t ii n', [0, 1]), ('b uh t', [1]), ('r i - t @@r n d', [0, 1]), ('i n', [1]), ('ei', [1]), ('r ii - k ow n t', [3, 1]), ('f o - l ou - i ng', [1, 0, 0]), ('dh @', [0]), ('d e th', [1]), ('o v', [1]), ('jh o n', [1]), ('d ei - v i s', [1, 0]), ('i n', [1]), ('n ai n - t ii n', [0, 1]), ('f oo - t ii n', [0, 1])]","('r ii - k ow n t', [1, 0])"
