0,back at his lab walters and his assistant miss strand fay helm transplant glandular material from dorothy into cheela,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,12,transplant,Morphosyntactic
1,ruby and the headmen then fought the heroes for hire while attempting to transplant chondu's head onto humbug's body,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,13,transplant,Morphosyntactic
2,reading about the condition of german immigrants in the united states wimmer took steps to transplant benedictine missions there,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,15,transplant,Morphosyntactic
3,due to the value of melange attempts have been made to transplant production onto other planets,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,11,transplant,Morphosyntactic
4,the trees are difficult to transplant and a seedling should be set in its permanent spot while still small,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,5,transplant,Morphosyntactic
5,for the rest of the nineteen seventies however import prices skyrocketed climbing two hundred and nineteen percent from nineteen seventy three to nineteen eighty,"('nn', 'i m - p oo t', [1, 0])", 0 i m - 1 p oo t ,8,import,Morphosyntactic
6,still slovenia began to covertly import arms to replenish its armed forces,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,5,import,Morphosyntactic
7,the importation of airsoft firearms is restricted to companies and individuals who hold weapons import licences,"('nn', 'i m - p oo t', [1, 0])", 0 i m - 1 p oo t ,14,import,Morphosyntactic
8,however a recount resulted in a tie with both bezanson and tidman receiving three thousand seven hundred and thirty five votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
9,ingham county was the first county to complete their recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
10,jay love unlikely to seek recount in second district loss to bobby bright,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,5,recount,Lexical
11,the court appointed the deputy marshall to conduct a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
12,the secretary of state issued the order for a recount on monday december sixth,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
13,ian cole was elected as his replacement at a recount on the twenty seventh of april nineteen seventy four,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
14,so far only in the gubernatorial elections of nineteen eighty and two thousand four has a recount taken place,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,16,recount,Lexical
15,salmon requested a recount and on december twenty first two thousand six he was declared the winner by a margin of one hundred and two votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,3,recount,Lexical
16,he was defeated in nineteen thirteen but returned in a recount following the death of john davies in nineteen fourteen,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,10,recount,Lexical
19,the florida recount was stopped a few weeks later by the us supreme court,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
20,some party members were concerned that a recount would damage the public perception of the libertarian party,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,7,recount,Lexical
21,immediately following the election stevenson filed a motion with the illinois supreme court for a state paid recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,17,recount,Lexical
22,after a recount gingrich prevailed by nine hundred and eighty votes with a fifty one percent to forty nine percent result,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
23,as the margin was within the two percent range there was a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,12,recount,Lexical
24,however since obama already won the election there had been no indications to suggest that he would request a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,19,recount,Lexical
25,because of this losing candidate lorene coates asked for a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,10,recount,Lexical
26,however lukaszuk appealed the recount three times to the alberta court of appeals disputing a number of rejected ballots,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,4,recount,Lexical
27,incumbent mary landrieu was elected in nineteen ninety six following a recount and was narrowly re elected in two thousand two in a runoff election,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,11,recount,Lexical
28,coleman declared himself the victor and suggested that franken waive his right to a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,14,recount,Lexical
29,after demanding a recount west finally conceded the election to murphy on november twentieth twenty twelve,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,3,recount,Lexical
30,immediately after the election a recount was ordered by the guam election commission,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,5,recount,Lexical
31,harry holgate was elected as his replacement at a recount on the twenty ninth of july nineteen seventy four,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
32,buzzi's slim margin of victory led to a recount and a judicial injunction against results in six precincts,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,8,recount,Lexical
33,in nineteen sixty five he initially appeared to have won but a recount showed that he had lost by twenty one votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,12,recount,Lexical
34,kloppenburg requests recount in state supreme court raceprosser wins recount in wisconsin supreme court racenate silver april eighth twenty eleven,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
35,after a recount he won by eight votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
36,peter inverso won't seek recount in fourteenth district election loss to sen,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,4,recount,Lexical
37,after the votes were certified whitehead declined to ask for a recount despite the narrow margin,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,11,recount,Lexical
38,however a recount resulted in the result being reversed with hugh valentine being elected,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
39,mclean was personally defeated in by new democrat peter burtniak after a recount by forty one votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,12,recount,Lexical
