3,"[('dh @', [0]), ('s uh n h - a m - @', [0, 0, 0]), ('p r uu v d', [1]), ('t uu', [0]), ('b ii', [1]), ('dh ii', [0]), ('i m - p l i - m e n t', [1, 0, 0]), ('o v', [1]), ('dh @', [0]), ('t r ou z', [0]), ('d i - s t r uh k - sh n!', [0, 1, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
15,"[('i t', [1]), ('ch ei n jh d', [1]), ('i t s', [1]), ('n ei m', [1]), ('t uu', [0]), ('dh @', [0]), ('m o l - ai n', [0, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('k uh m - p @ - n iy', [1, 0, 0]), ('t uu', [0]), ('r i - f l e k t', [0, 1]), ('dh i s', [1])]","('i m - p l i - m @ n t', [1, 0, 0])"
20,"[('h ii', [1]), ('f ow n d', [1]), ('i m - p l oi - m @ n t', [0, 1, 0]), ('w i dh', [1]), ('r o - b i n - s n!', [1, 0, 0]), ('b r o s', [1]), ('i m - p l i - m e n t', [1, 0, 0]), ('m ei k - @ z', [1, 0]), ('o v', [1]), ('m e lw - b @ n', [1, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
32,"[('s p i@ g - uh n', [0, 0]), ('ei', [1]), ('s p i@ g - uh n', [0, 0]), ('i z', [1]), ('a n', [1]), ('uh n - d @ - w oo - t @', [2, 0, 1, 0]), ('f i sh - i ng', [1, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('d i - z ai n d', [0, 1]), ('t uu', [0]), ('f ai @', [1]), ('ei', [1]), ('s p i@', [1]), ('a t', [1]), ('f i sh', [1])]","('i m - p l i - m @ n t', [1, 0, 0])"
33,"[('jh e n - r @ lw', [1, 0]), ('jh oo jh', [1]), ('e s', [1]), ('p a - t @ n', [1, 0]), ('k oo lw d', [1]), ('i t', [1]), ('dh @', [0]), ('g r ei t - i s t', [1, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('o v', [1]), ('b a - t l!', [1, 0]), ('e - v @', [1, 0]), ('d i - v ai z d', [0, 1])]","('i m - p l i - m @ n t', [1, 0, 0])"
41,"[('a n', [1]), ('@ b - s t e - t r i k - l!', [0, 1, 0, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('n ou n', [1]), ('a z', [1]), ('ei', [1]), ('p i n s', [0]), ('d ii', [0]), ('b aa', [1]), ('a n', [1]), ('uh m - b i - l i - k l!', [0, 1, 0, 0]), ('k oo d', [1]), ('k l a m p', [1]), ('i z', [1]), ('n ei m d', [1]), ('aa f - t @', [1, 0]), ('h i m', [1])]","('i m - p l i - m @ n t', [1, 0, 0])"
57,"[('n ai v z', [1]), ('aa', [1]), ('oo lw - s ou', [1, 0]), ('y uu s t', [1]), ('a z', [1]), ('ei', [1]), ('t r @ - d i - sh n! - @ lw', [0, 1, 0, 0]), ('oo', [1]), ('r i - l i - jh @ s', [0, 1, 0]), ('i m - p l i - m e n t', [1, 0, 0]), ('s uh ch', [1]), ('a z', [1]), ('dh @', [0]), ('k @@r p - a n', [0, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
67,"[('f aa m', [1]), ('i m - p l i - m e n t', [1, 0, 0]), ('a n d', [1]), ('m @ - sh ii n - @ - r iy', [0, 1, 0, 0]), ('r i - v y uu', [0, 1]), ('v o - l y uu m', [1, 0]), ('ei - t iy', [1, 0]), ('p aa t', [1]), ('t uu', [1]), ('@ - b i - ch uw @ - r iy z', [0, 1, 0, 0])]","('i m - p l i - m @ n t', [1, 0, 0])"
72,"[('dh ii', [0]), ('i m - p l i - m e n t', [1, 0, 0]), ('i z', [1]), ('th r ou n', [1]), ('y uu z - i ng', [1, 0]), ('w uh n', [1]), ('h a n d', [1]), ('ou n - l iy', [1, 0]), ('b uh t', [1]), ('uh - dh @ - w ai z', [1, 0, 2]), ('y uu z - i ng', [1, 0]), ('e - n iy', [1, 0]), ('t e k - n ii k', [0, 1])]","('i m - p l i - m @ n t', [1, 0, 0])"
113,"[('sh ii', [1]), ('b i - k uh m z', [0, 1]), ('k eir - t ei k - @', [1, 2, 0]), ('t uu', [0]), ('h @@r', [1]), ('m uh - dh @', [1, 0]), ('h uu', [1]), ('i z', [1]), ('r i - v ii lw d', [0, 1]), ('a z', [1]), ('ei', [1]), ('m oo - f ii n', [1, 0]), ('@ - d i k t', [0, 1])]","('a - d i k t', [1, 0])"
121,"[('h @@r', [1]), ('s uh n', [1]), ('b e k - @ z', [0, 0]), ('b r uh - dh @', [1, 0]), ('aa - th @', [1, 0]), ('ei', [1]), ('h e - r ou - i n', [1, 0, 0]), ('@ - d i k t', [0, 1]), ('h a ng d', [1]), ('h i m - s e lw f', [3, 1]), ('a t', [1]), ('dh ii', [0]), ('ei jh', [1]), ('o v', [1]), ('th @@r - t iy', [1, 0])]","('a - d i k t', [1, 0])"
161,"[('h ii', [1]), ('oo lw - s ou', [1, 0]), ('b i - k uh m z', [0, 1]), ('ei', [1]), ('h e - r ou - i n', [1, 0, 0]), ('@ - d i k t', [0, 1]), ('d y uu', [1]), ('t uu', [0]), ('dh @', [0]), ('r i - k @@r r - i ng', [0, 1, 0]), ('b a k', [1]), ('p ei n', [1])]","('a - d i k t', [1, 0])"
162,"[('dh eir', [1]), ('sh ii', [1]), ('m ii t s', [1]), ('@ - n uh - dh @', [0, 1, 0]), ('o - s t r ei - l iy @ n', [0, 1, 0]), ('w u - m @ n', [1, 0]), ('m a n - d iy', [1, 0]), ('e ng - g l! z', [1, 0]), ('jh oi', [1]), ('s m i - dh @ z', [1, 0]), ('ei', [1]), ('h e - r ou - i n', [1, 0, 0]), ('@ - d i k t', [0, 1]), ('oo lw - s ou', [1, 0]), ('i m - p r i - z n! d', [0, 1, 0]), ('f @', [0]), ('d r uh g', [1]), ('t r a - f i k - i ng', [1, 0, 0])]","('a - d i k t', [1, 0])"
163,"[('k o - l ii n', [1, 0]), ('w o z', [1]), ('k a p - ch @ d', [1, 0]), ('b ai', [1]), ('e - m ii lw', [0, 1]), ('v a k n', [0]), ('h ow - e - v @', [2, 1, 0]), ('h uu', [1]), ('t @@r n d', [1]), ('h @@r', [1]), ('i n - t uu', [1, 0]), ('ei', [1]), ('h e - r ou - i n', [1, 0, 0]), ('@ - d i k t', [0, 1])]","('a - d i k t', [1, 0])"
168,"[('k l a - r @ n s', [1, 0]), ('m uh m - f @ d', [1, 0]), ('i z', [1]), ('ei', [1]), ('r @ b - i t - uh s - i n', [0, 0, 0, 0]), ('@ - d i k t', [0, 1]), ('l i v - i ng', [1, 0]), ('w i dh', [1]), ('h i z', [1]), ('p eir - r @ n t s', [1, 0])]","('a - d i k t', [1, 0])"
188,"[('i n', [1]), ('dh @', [0]), ('f @@r s t', [1]), ('th r ii', [1]), ('m uh n th s', [1]), ('o v', [1]), ('dh @', [0]), ('y i@', [1]), ('dh @', [0]), ('n uh m - b @', [1, 0]), ('o v', [1]), ('t oo - n ei - d ou z', [0, 1, 0]), ('a n d', [1]), ('t oo - n ei - d ou', [0, 1, 0]), ('ow t - b r ei k s', [1, 3]), ('w @@r', [1]), ('l ou', [1]), ('t uu', [0]), ('m o - d @ - r ei t', [1, 0, 0])]","('m o - d @ - r @ t', [1, 0, 0])"
207,"[('d uh ng - k @ n', [1, 0]), ('k o - r @ lw z', [1, 0]), ('oo lw - s ou', [1, 0]), ('r i - k w ai @', [0, 1]), ('ei', [1]), ('l ou', [1]), ('t uu', [0]), ('m o - d @ - r ei t', [1, 0, 0]), ('k uh - r @ n t', [1, 0]), ('t uu', [0]), ('b r i ng', [1]), ('dh e m', [1]), ('f uu d', [1]), ('s uh ch', [1]), ('a z', [1]), ('f ai - t ou - p l a ng k - t @ n', [2, 0, 1, 0]), ('oo', [1]), ('z uu p - l a ng k - t @ n', [0, 0, 0]), ('n a ch - r @ l - iy', [1, 0, 0])]","('m o - d @ - r @ t', [1, 0, 0])"
269,"[('p o t - v i n', [0, 0]), ('w o z', [1]), ('n ou n', [1]), ('f @', [0]), ('b ii - i ng', [1, 0]), ('i n - t e - l i - jh @ n t', [0, 1, 0, 0]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('a n d', [1]), ('ow t - s p ou k - @ n', [3, 1, 0]), ('o f', [1]), ('dh ii', [0]), ('ai s', [1])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
273,"[('s eir - r @', [1, 0]), ('p ei l - i n', [0, 0]), ('i z', [1]), ('s ii - k r @ t - l iy', [1, 0, 0]), ('a n', [1]), ('i k - s t r ii m - l iy', [0, 1, 0]), ('i n - t e - l i - jh @ n t', [0, 1, 0, 0]), ('p oi z d', [1]), ('a n d', [1]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('i ng - g l i sh - w u - m @ n', [1, 0, 2, 0])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
274,"[('h i z', [1]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('s p ii ch - i z', [1, 0]), ('th r uu - ow t', [3, 1]), ('n y uu', [1]), ('i ng - g l @ n d', [1, 0]), ('@@r n d', [1]), ('m @ - r e lw', [0, 1]), ('a n', [1]), ('oo - d iy @ n s', [1, 0]), ('w i dh', [1]), ('p r e - z i - d @ n t', [1, 0, 0]), ('th ii @ - d oo', [1, 0]), ('r ou - z @ - v e lw t', [1, 0, 0])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
275,"[('s t y uu - d n! t s', [1, 0]), ('b i - g i n', [0, 1]), ('r ai t - i ng', [1, 0]), ('sh oo t', [1]), ('s t oo - r iy z', [1, 0]), ('i n', [1]), ('k i n - d @ - g aa - t @ n', [1, 0, 2, 0]), ('a n d', [1]), ('b ai', [1]), ('th @@r d', [1]), ('g r ei d', [1]), ('aa', [1]), ('y uu - zh uw @ l - iy', [1, 0, 0]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('a n d', [1]), ('f @ - m i - l iy @', [0, 1, 0]), ('w i dh', [1]), ('r ai t - i ng', [1, 0])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
276,"[('dh @', [0]), ('f @@r s t', [1]), ('s i - m e - s t @', [0, 1, 0]), ('k @ - r i - k y uw - l @ m', [0, 1, 0, 0]), ('i z', [1]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('a n d', [1]), ('p r @ - v ai d z', [0, 1]), ('a n', [1]), ('uh n - d @ - s t a n d - i ng', [2, 0, 1, 0]), ('o v', [1]), ('dh @', [0]), ('m ei - jh @', [1, 0]), ('m a - n i jh - m @ n t', [1, 0, 0]), ('s ai @ n s - i z', [1, 0]), ('s uh b - jh i k t s', [1, 0])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
277,"[('dh @', [0]), ('f @@r s t', [1]), ('p @@r - s n!', [1, 0]), ('t uu', [0]), ('p uh - b l i k - l iy', [1, 0, 0]), ('i g - z i - b i t', [0, 1, 0]), ('ei', [1]), ('t e - l i - f ou n', [1, 0, 2]), ('f @', [0]), ('t r a n z - m i - sh n!', [0, 1, 0]), ('o v', [1]), ('aa - t i - k y uw - l ei t', [0, 1, 0, 0]), ('s p ii ch', [1]), ('w o z', [1]), ('ei', [1]), ('jh ii', [1]), ('b e lw', [1])]","('aa - t i - k y uw - l @ t', [0, 1, 0, 0])"
