sentence, predicted pronunciation
i knew something of his ways and i was aware of that part of the mechanism which he and all such sharpers use consists of an elastic down the arm with a clip just above the wrist it is by means of this clip,USE, 1 y uu s
all this was heard distinctly by the curate and those with him and as it seemed to them to be uttered close by as indeed it was they got up to look for the speaker and before they had gone twenty paces they discovered behind a rock seated at the foot of an ash tree,CLOSE, 1 k l ou z
shall i make of the church in my foolish imaginations a temple of idolatrous worship by supposing that it is for the sake of supplying some need that god has or of gratifying some taste in him that i there listen to his word say prayers to him and sing his praises,SAKE, 1 s aa - 0 k ei
perhaps but he thought i was considering his health however he spoke up well at the trial and quite explained bernard's innocence durham shrugged his shoulders the serpent in the bamboo he was forced to be honest at the trial for his own sake,SAKE, 1 s aa - 0 k ei
for goodness sake let him find you out for he don't know you,SAKE, 1 s aa - 0 k ei
i hope you had not taken it in your head that i meant to leave you independent what i have done for you i have done purely for your father's sake i was under no obligation to take the least trouble about you but i have more regard to your welfare,SAKE, 1 s aa - 0 k ei
he was turning away when a voice cried the second time brother for pity's sake fetch me some water i'm dying of thirst so the prince went back and brought some more water and again a hoop sprang,SAKE, 1 s aa - 0 k ei
henriette was charming in her new gown specially imported from paris a gown of oriental design with row upon row of brilliantly shining crescent shaped ornaments firmly affixed to the front of it and every one of them as sharp as a steel knife i could see at a glance,ROW, 1 r ow
encouraged by a murmur of elderly approval lester standing in the front row of the onlookers turned to scan the crowd for the beaming faces of the happy parents,ROW, 1 r ow
i will not bend my head said the buckwheat then the old willow tree spoke close your flowers and bend your leaves do not look at the lightning when the cloud bursts even men cannot do that the sight of heaven would strike them blind,CLOSE, 1 k l ou s
just as i was setting off we heard two pistol cracks muffled but the noise from cartridges such as we carried nevertheless i grasped my weapon and started downstairs as i reached the top of the landing i heard the cellar door close with a bang on the floor below,CLOSE, 1 k l ou s
and if you are still of the same opinion then you are wasting your time in following me farther for a material dealer to advance this theory i can find some excuse he is an interested party and the selling of material is his bread and butter,EXCUSE, 0 i k - 1 s k y uu s
i do not know that i approve of the suggestion myself but in order to bring it before the committee for debate i am willing to make a motion that the request be granted excuse me put in doctor johnson,EXCUSE, 0 i k - 1 s k y uu s
the two bills had a common origin and to a great extent a common object they were framed at the same time and laid aside at the same time they sank together into oblivion,OBJECT, 0 @ b - 1 jh e k t
he should be glad to get it if he could but he was sure the british would not ultimately grant it that the navigation of the mississippi on the other hand was an object of immense importance and he could see no sort of reason for granting it as an equivalent for the fisheries,OBJECT, 0 @ b - 1 jh e k t
whose mere parting seemed to breathe upon you the fragrance of frankness and generosity had the fastidious soul of an experienced woman she was before all things and all flatteries careful of her pride in the object of her choice,OBJECT, 0 @ b - 1 jh e k t
ready to start upon his morning round and pacing thoughtfully to and fro upon the veranda of his dwelling while waiting for his horse saw a miserable looking object coming up the avenue,OBJECT, 0 @ b - 1 jh e k t
