id, reference word-id, predicted word-id 
113,recount_nou,recount_vrb
138,abstract_adj-nou,[]
214,pasty_nou,pasty_adj
216,pasty_nou,pasty_adj
230,bow_nou-knot,bow_nou-ship
231,bow_nou-knot,bow_nou-ship
233,bow_nou-ship,bow_nou-knot
234,bow_nou-knot,bow_nou-ship
235,bow_nou-knot,bow_nou-ship
273,defect_nou,[]
293,incline_vrb,[]
309,expatriate_nou,[]
418,refund_nou,[]
438,content_adj-nou-vrb,[]
440,content_adj-nou-vrb,[]
445,content_adj-nou-vrb,[]
515,upset_vrb,upset_nou
598,sake_jp,sake
603,sake_jp,sake
606,sake_jp,sake
694,perfume_vrb,[]
701,conglomerate_vrb,conglomerate_adj-nou
897,approximate_adj-nou,approximate_vrb
928,wound_vrb,wound_nou-vrb
929,wound_nou-vrb,wound_vrb
939,separate_vrb,[]
999,ravel_nou,[]
1054,discharge_nou,discharge_vrb
1059,discharge_nou,[]
1079,reject_vrb,reject_nou
1094,nestle_nam,nestle_vrb
1115,read_present,read_past
1122,read_past,read_present
1204,axes_nou-vrb,axes_nou
1205,axes_nou-vrb,axes_nou
1207,axes_nou-vrb,axes_nou
1209,axes_nou-vrb,axes_nou
1212,axes_nou-vrb,axes_nou
1213,axes_nou-vrb,axes_nou
1290,live_adj,[]
1364,reading_en,reading_geo
1365,reading_geo,reading_en
1366,reading_geo,reading_en
1375,lead_nou,lead_nou-vrb
1377,lead_nou,lead_nou-vrb
1379,lead_nou,lead_nou-vrb
1385,tear_vrb,tear_nou
1387,tear_vrb,tear_nou
1388,tear_vrb,tear_nou
1391,tear_vrb,tear_nou
1393,tear_vrb,tear_nou
1418,pervert_vrb,[]
1422,pervert_vrb,[]
1483,increment_vrb,increment_nou
1495,combine_vrb,combine_nou
1598,blessed_adj,blessed_vrb
1604,blessed_adj,blessed_vrb
1612,aged_adj,aged
